team,player_name,position,age,club,minutes_recent,goals_recent,assists_recent,xg_recent,xa_recent,injury_status,expected_return,source,retrieved_at,confidence,notes
Mexico,Guillermo Ochoa,,,,,,,,,unknown,,"https://www.aljazeera.com/sports/2026/6/5/mexico-world-cup-2026-preview-players-to-watch-group-matches-and-squad",2026-06-11,medium,"No reliable public injury report found in this dry-run; not assumed healthy"
Mexico,Edson Alvarez,,,,,,,,,unknown,,"https://www.aljazeera.com/sports/2026/6/5/mexico-world-cup-2026-preview-players-to-watch-group-matches-and-squad",2026-06-11,medium,"No reliable public injury report found in this dry-run; not assumed healthy"
Mexico,Raul Jimenez,,,,,,,,,unknown,,"https://www.aljazeera.com/sports/2026/6/5/mexico-world-cup-2026-preview-players-to-watch-group-matches-and-squad",2026-06-11,medium,"No reliable public injury report found in this dry-run; not assumed healthy"
South Africa,Aubrey Modiba,,,,,,,,,unknown,,"https://cosafa.com/south-africa-name-final-squad-for-2026-fifa-world-cup/",2026-06-11,high,"COSAFA says Modiba missed the CAF Champions League second leg due to injury but was named in the squad; current status not inferred"
South Africa,Ronwen Williams,,,,,,,,,unknown,,"https://cosafa.com/south-africa-name-final-squad-for-2026-fifa-world-cup/",2026-06-11,high,"No reliable public injury report found in this dry-run; not assumed healthy"
South Africa,Lyle Foster,,,,,,,,,unknown,,"https://cosafa.com/south-africa-name-final-squad-for-2026-fifa-world-cup/",2026-06-11,high,"No reliable public injury report found in this dry-run; not assumed healthy"
Germany,Manuel Neuer,,,,,,,,,unknown,,"https://www.aljazeera.com/sports/2026/5/31/germany-world-cup-2026-team-preview-players-to-watch-group-and-squad-list",2026-06-11,medium,"No reliable public injury report found in this dry-run; not assumed healthy"
Germany,Jamal Musiala,,,,,,,,,unknown,,"https://www.aljazeera.com/sports/2026/5/31/germany-world-cup-2026-team-preview-players-to-watch-group-and-squad-list",2026-06-11,medium,"Article references past severe injury history; current tournament injury status not inferred"
Germany,Kai Havertz,,,,,,,,,unknown,,"https://www.fourfourtwo.com/team/germany-world-cup-2026-squad",2026-06-11,medium,"FourFourTwo notes Havertz made the squad after an injury-plagued period; current status not inferred"
Curaçao,Eloy Room,,,,,,,,,unknown,,"https://www.olympics.com/en/news/fifa-world-cup-2026-curacao-players-squad-list-key-stats-schedule",2026-06-11,medium,"No reliable public injury report found in this dry-run; not assumed healthy"
Curaçao,Leandro Bacuna,,,,,,,,,unknown,,"https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/curacao-squad-announcement-dick-advocaat",2026-06-11,high,"No reliable public injury report found in this dry-run; not assumed healthy"
Curaçao,Tahith Chong,,,,,,,,,unknown,,"https://www.espn.com/soccer/team/squad/_/id/11678/league/FIFA.WORLD",2026-06-11,medium,"No reliable public injury report found in this dry-run; not assumed healthy"
