team,player_name,position,age,club,minutes_recent,goals_recent,assists_recent,xg_recent,xa_recent,injury_status,expected_return,source,retrieved_at,confidence,notes
Mexico,Guillermo Ochoa,,,,,,,,,,,"https://www.aljazeera.com/sports/2026/6/5/mexico-world-cup-2026-preview-players-to-watch-group-matches-and-squad",2026-06-11,medium,"No reliable public recent minutes/goals/assists/xG/xA collected in this dry-run"
Mexico,Edson Alvarez,,,,,,,,,,,"https://www.aljazeera.com/sports/2026/6/5/mexico-world-cup-2026-preview-players-to-watch-group-matches-and-squad",2026-06-11,medium,"No reliable public recent minutes/goals/assists/xG/xA collected in this dry-run"
Mexico,Gilberto Mora,,,,,,,,,,,"https://www.aljazeera.com/sports/2026/6/5/mexico-world-cup-2026-preview-players-to-watch-group-matches-and-squad",2026-06-11,medium,"No reliable public recent minutes/goals/assists/xG/xA collected in this dry-run"
Mexico,Raul Jimenez,,,,,,,,,,,"https://www.aljazeera.com/sports/2026/6/5/mexico-world-cup-2026-preview-players-to-watch-group-matches-and-squad",2026-06-11,medium,"No reliable public recent minutes/goals/assists/xG/xA collected in this dry-run"
South Africa,Ronwen Williams,,,,,,,,,,,"https://cosafa.com/south-africa-name-final-squad-for-2026-fifa-world-cup/",2026-06-11,high,"No reliable public recent minutes/goals/assists/xG/xA collected in this dry-run"
South Africa,Teboho Mokoena,,,,,,,,,,,"https://cosafa.com/south-africa-name-final-squad-for-2026-fifa-world-cup/",2026-06-11,high,"No reliable public recent minutes/goals/assists/xG/xA collected in this dry-run"
South Africa,Lyle Foster,,,,,,,,,,,"https://cosafa.com/south-africa-name-final-squad-for-2026-fifa-world-cup/",2026-06-11,high,"No reliable public recent minutes/goals/assists/xG/xA collected in this dry-run"
South Africa,Themba Zwane,,,,,,,,,,,"https://cosafa.com/south-africa-name-final-squad-for-2026-fifa-world-cup/",2026-06-11,high,"No reliable public recent minutes/goals/assists/xG/xA collected in this dry-run"
Germany,Manuel Neuer,,,,,,,,,,,"https://www.aljazeera.com/sports/2026/5/31/germany-world-cup-2026-team-preview-players-to-watch-group-and-squad-list",2026-06-11,medium,"No reliable public recent minutes/goals/assists/xG/xA collected in this dry-run"
Germany,Joshua Kimmich,,,,,,,,,,,"https://www.aljazeera.com/sports/2026/5/31/germany-world-cup-2026-team-preview-players-to-watch-group-and-squad-list",2026-06-11,medium,"No reliable public recent minutes/goals/assists/xG/xA collected in this dry-run"
Germany,Jamal Musiala,,,,,,,,,,,"https://www.aljazeera.com/sports/2026/5/31/germany-world-cup-2026-team-preview-players-to-watch-group-and-squad-list",2026-06-11,medium,"No reliable public recent minutes/goals/assists/xG/xA collected in this dry-run"
Germany,Florian Wirtz,,,,,,,,,,,"https://www.aljazeera.com/sports/2026/5/31/germany-world-cup-2026-team-preview-players-to-watch-group-and-squad-list",2026-06-11,medium,"No reliable public recent minutes/goals/assists/xG/xA collected in this dry-run"
Curaçao,Eloy Room,,,,,,,,,,,"https://www.olympics.com/en/news/fifa-world-cup-2026-curacao-players-squad-list-key-stats-schedule",2026-06-11,medium,"No reliable public recent minutes/goals/assists/xG/xA collected in this dry-run"
Curaçao,Leandro Bacuna,,,,,,,,,,,"https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/curacao-squad-announcement-dick-advocaat",2026-06-11,high,"No reliable public recent minutes/goals/assists/xG/xA collected in this dry-run"
Curaçao,Juninho Bacuna,,,,,,,,,,,"https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/curacao-squad-announcement-dick-advocaat",2026-06-11,high,"No reliable public recent minutes/goals/assists/xG/xA collected in this dry-run"
Curaçao,Tahith Chong,,,,,,,,,,,"https://www.espn.com/soccer/team/squad/_/id/11678/league/FIFA.WORLD",2026-06-11,medium,"No reliable public recent minutes/goals/assists/xG/xA collected in this dry-run"
