team,player_name,position,age,club,minutes_recent,goals_recent,assists_recent,xg_recent,xa_recent,injury_status,expected_return,source,retrieved_at,confidence,notes
Mexico,Raul Rangel,GK,26,Guadalajara,,,,,,,,"https://www.aljazeera.com/sports/2026/6/5/mexico-world-cup-2026-preview-players-to-watch-group-matches-and-squad",2026-06-11,medium,"World Cup squad list; age from ESPN search snippet"
Mexico,Guillermo Ochoa,GK,40,AEL Limassol,,,,,,,,"https://www.aljazeera.com/sports/2026/6/5/mexico-world-cup-2026-preview-players-to-watch-group-matches-and-squad",2026-06-11,medium,"World Cup squad list; article notes Ochoa is 40"
Mexico,Carlos Acevedo,GK,30,Santos Laguna,,,,,,,,"https://www.aljazeera.com/sports/2026/6/5/mexico-world-cup-2026-preview-players-to-watch-group-matches-and-squad",2026-06-11,medium,"World Cup squad list; age from ESPN search snippet"
Mexico,Israel Reyes,DF,,America,,,,,,,,"https://www.aljazeera.com/sports/2026/6/5/mexico-world-cup-2026-preview-players-to-watch-group-matches-and-squad",2026-06-11,medium,"World Cup squad list"
Mexico,Jorge Sanchez,DF,28,PAOK,,,,,,,,"https://www.aljazeera.com/sports/2026/6/5/mexico-world-cup-2026-preview-players-to-watch-group-matches-and-squad",2026-06-11,medium,"World Cup squad list; age from ESPN search snippet"
Mexico,Cesar Montes,DF,29,Lokomotiv Moscow,,,,,,,,"https://www.aljazeera.com/sports/2026/6/5/mexico-world-cup-2026-preview-players-to-watch-group-matches-and-squad",2026-06-11,medium,"World Cup squad list; age from ESPN search snippet"
Mexico,Edson Alvarez,MF,,West Ham,,,,,,,,"https://www.aljazeera.com/sports/2026/6/5/mexico-world-cup-2026-preview-players-to-watch-group-matches-and-squad",2026-06-11,medium,"World Cup squad list"
Mexico,Gilberto Mora,MF,17,Tijuana,,,,,,,,"https://www.aljazeera.com/sports/2026/6/5/mexico-world-cup-2026-preview-players-to-watch-group-matches-and-squad",2026-06-11,medium,"World Cup squad list; article identifies Mora as 17"
Mexico,Santiago Gimenez,FW,,AC Milan,,,,,,,,"https://www.aljazeera.com/sports/2026/6/5/mexico-world-cup-2026-preview-players-to-watch-group-matches-and-squad",2026-06-11,medium,"World Cup squad list"
Mexico,Raul Jimenez,FW,,Fulham,,,,,,,,"https://www.aljazeera.com/sports/2026/6/5/mexico-world-cup-2026-preview-players-to-watch-group-matches-and-squad",2026-06-11,medium,"World Cup squad list"
South Africa,Ronwen Williams,GK,,Mamelodi Sundowns,,,,,,,,"https://cosafa.com/south-africa-name-final-squad-for-2026-fifa-world-cup/",2026-06-11,high,"COSAFA final World Cup squad list"
South Africa,Ricardo Goss,GK,,Siwelele,,,,,,,,"https://cosafa.com/south-africa-name-final-squad-for-2026-fifa-world-cup/",2026-06-11,high,"COSAFA final World Cup squad list"
South Africa,Sipho Chaine,GK,,Orlando Pirates,,,,,,,,"https://cosafa.com/south-africa-name-final-squad-for-2026-fifa-world-cup/",2026-06-11,high,"COSAFA final World Cup squad list"
South Africa,Khuliso Mudau,DF,,Mamelodi Sundowns,,,,,,,,"https://cosafa.com/south-africa-name-final-squad-for-2026-fifa-world-cup/",2026-06-11,high,"COSAFA final World Cup squad list"
South Africa,Aubrey Modiba,DF,,Mamelodi Sundowns,,,,,,,,"https://cosafa.com/south-africa-name-final-squad-for-2026-fifa-world-cup/",2026-06-11,high,"COSAFA says he was named after missing CAF Champions League second leg due to injury"
South Africa,Khulumani Ndamane,DF,,Mamelodi Sundowns,,,,,,,,"https://cosafa.com/south-africa-name-final-squad-for-2026-fifa-world-cup/",2026-06-11,high,"COSAFA final World Cup squad list"
South Africa,Teboho Mokoena,MF,,Mamelodi Sundowns,,,,,,,,"https://cosafa.com/south-africa-name-final-squad-for-2026-fifa-world-cup/",2026-06-11,high,"COSAFA final World Cup squad list"
South Africa,Jayden Adams,MF,,Mamelodi Sundowns,,,,,,,,"https://cosafa.com/south-africa-name-final-squad-for-2026-fifa-world-cup/",2026-06-11,high,"COSAFA final World Cup squad list"
South Africa,Lyle Foster,FW,,Burnley,,,,,,,,"https://cosafa.com/south-africa-name-final-squad-for-2026-fifa-world-cup/",2026-06-11,high,"COSAFA final World Cup squad list"
South Africa,Themba Zwane,FW,,Mamelodi Sundowns,,,,,,,,"https://cosafa.com/south-africa-name-final-squad-for-2026-fifa-world-cup/",2026-06-11,high,"COSAFA final World Cup squad list"
