priority,team,first_match_num,first_kickoff_at,first_opponent,status,squad_rows,player_stats_rows,official_profile_rows,numeric_stats_rows,injuries_rows,missing_items,suggested_action
P0,Algeria,M019,2026-06-17T01:00:00Z,Argentina,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Argentina,M019,2026-06-17T01:00:00Z,Algeria,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Australia,M008,2026-06-14T04:00:00Z,Turkey,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Austria,M020,2026-06-17T04:00:00Z,Jordan,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Belgium,M014,2026-06-15T19:00:00Z,Egypt,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Bosnia & Herzegovina,M003,2026-06-12T19:00:00Z,Canada,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Brazil,M006,2026-06-13T22:00:00Z,Morocco,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Canada,M003,2026-06-12T19:00:00Z,Bosnia & Herzegovina,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Cape Verde,M013,2026-06-15T16:00:00Z,Spain,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Colombia,M024,2026-06-18T02:00:00Z,Uzbekistan,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Croatia,M022,2026-06-17T20:00:00Z,England,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Curacao,M009,2026-06-14T17:00:00Z,Germany,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Czech Republic,M002,2026-06-12T02:00:00Z,South Korea,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,DR Congo,M021,2026-06-17T17:00:00Z,Portugal,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Ecuador,M011,2026-06-14T23:00:00Z,Ivory Coast,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Egypt,M014,2026-06-15T19:00:00Z,Belgium,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,England,M022,2026-06-17T20:00:00Z,Croatia,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,France,M017,2026-06-16T19:00:00Z,Senegal,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Germany,M009,2026-06-14T17:00:00Z,Curacao,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Ghana,M023,2026-06-17T23:00:00Z,Panama,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Haiti,M007,2026-06-14T01:00:00Z,Scotland,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Iran,M016,2026-06-16T01:00:00Z,New Zealand,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Iraq,M018,2026-06-16T22:00:00Z,Norway,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Ivory Coast,M011,2026-06-14T23:00:00Z,Ecuador,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Japan,M010,2026-06-14T20:00:00Z,Netherlands,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Jordan,M020,2026-06-17T04:00:00Z,Austria,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Mexico,M001,2026-06-11T19:00:00Z,South Africa,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Morocco,M006,2026-06-13T22:00:00Z,Brazil,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Netherlands,M010,2026-06-14T20:00:00Z,Japan,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,New Zealand,M016,2026-06-16T01:00:00Z,Iran,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Norway,M018,2026-06-16T22:00:00Z,Iraq,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Panama,M023,2026-06-17T23:00:00Z,Ghana,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Paraguay,M004,2026-06-13T01:00:00Z,USA,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Portugal,M021,2026-06-17T17:00:00Z,DR Congo,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Qatar,M005,2026-06-13T19:00:00Z,Switzerland,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Saudi Arabia,M015,2026-06-15T22:00:00Z,Uruguay,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Scotland,M007,2026-06-14T01:00:00Z,Haiti,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Senegal,M017,2026-06-16T19:00:00Z,France,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,South Africa,M001,2026-06-11T19:00:00Z,Mexico,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,South Korea,M002,2026-06-12T02:00:00Z,Czech Republic,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Spain,M013,2026-06-15T16:00:00Z,Cape Verde,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Sweden,M012,2026-06-15T02:00:00Z,Tunisia,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Switzerland,M005,2026-06-13T19:00:00Z,Qatar,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Tunisia,M012,2026-06-15T02:00:00Z,Sweden,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Turkey,M008,2026-06-14T04:00:00Z,Australia,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,USA,M004,2026-06-13T01:00:00Z,Paraguay,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Uruguay,M015,2026-06-15T22:00:00Z,Saudi Arabia,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
P0,Uzbekistan,M024,2026-06-18T02:00:00Z,Colombia,partial,26,26,26,0,26,numeric_recent_stats,collect recent minutes/goals/assists/xg/xa for core players
