statsbomb_player_name,statsbomb_team,candidate_project_players,reason
Alejandro Darío Gómez,Argentina,,no_exact_project_roster_match
Alexis Mac Allister,Argentina,,no_exact_project_roster_match
Cristian Gabriel Romero,Argentina,,no_exact_project_roster_match
Damián Emiliano Martínez,Argentina,,no_exact_project_roster_match
Enzo Fernandez,Argentina,,no_exact_project_roster_match
Exequiel Alejandro Palacios,Argentina,,no_exact_project_roster_match
Germán Alejandro Pezzella,Argentina,,no_exact_project_roster_match
Gonzalo Ariel Montiel,Argentina,,no_exact_project_roster_match
Guido Rodríguez,Argentina,,no_exact_project_roster_match
Juan Marcos Foyth,Argentina,,no_exact_project_roster_match
Julián Álvarez,Argentina,,no_exact_project_roster_match
Lautaro Javier Martínez,Argentina,,no_exact_project_roster_match
Leandro Daniel Paredes,Argentina,,no_exact_project_roster_match
Lionel Andrés Messi Cuccittini,Argentina,,no_exact_project_roster_match
Lisandro Martínez,Argentina,,no_exact_project_roster_match
Marcos Javier Acuña,Argentina,,no_exact_project_roster_match
Nahuel Molina Lucero,Argentina,,no_exact_project_roster_match
Nicolás Alejandro Tagliafico,Argentina,,no_exact_project_roster_match
Nicolás Hernán Otamendi,Argentina,,no_exact_project_roster_match
Paulo Bruno Exequiel Dybala,Argentina,,no_exact_project_roster_match
Rodrigo Javier De Paul,Argentina,,no_exact_project_roster_match
Thiago Ezequiel Almada,Argentina,,no_exact_project_roster_match
Ángel Fabián Di María Hernández,Argentina,,no_exact_project_roster_match
Ángel Martín Correa,Argentina,,no_exact_project_roster_match
Aaron Mooy,Australia,,no_exact_project_roster_match
Ajdin Hrustic,Australia,,no_exact_project_roster_match
Awer Denis Bul Mabil,Australia,,no_exact_project_roster_match
Aziz Eraltay Behich,Australia,,no_exact_project_roster_match
Bailey Wright,Australia,,no_exact_project_roster_match
Craig Goodwin,Australia,,no_exact_project_roster_match
Fran Karačić,Australia,,no_exact_project_roster_match
Garang Kuol,Australia,,no_exact_project_roster_match
Harry Souttar,Australia,,no_exact_project_roster_match
Jackson Irvine,Australia,,no_exact_project_roster_match
Jamie MacLaren,Australia,,no_exact_project_roster_match
Jason Cummings,Australia,,no_exact_project_roster_match
Keanu Baccus,Australia,,no_exact_project_roster_match
Kye Rowles,Australia,,no_exact_project_roster_match
Mathew Leckie,Australia,,no_exact_project_roster_match
Mathew Ryan,Australia,,no_exact_project_roster_match
Miloš Degenek,Australia,,no_exact_project_roster_match
Mitchell Thomas Duke,Australia,,no_exact_project_roster_match
Nathaniel Atkinson,Australia,,no_exact_project_roster_match
Riley McGree,Australia,,no_exact_project_roster_match
Amadou Onana,Belgium,,no_exact_project_roster_match
Axel Witsel,Belgium,,no_exact_project_roster_match
Charles De Ketelaere,Belgium,,no_exact_project_roster_match
Dries Mertens,Belgium,,no_exact_project_roster_match
Eden Hazard,Belgium,,no_exact_project_roster_match
Ikoma Loïs Openda,Belgium,,no_exact_project_roster_match
Jan Vertonghen,Belgium,,no_exact_project_roster_match
Jeremy Doku,Belgium,,no_exact_project_roster_match
Kevin De Bruyne,Belgium,,no_exact_project_roster_match
Leander Dendoncker,Belgium,,no_exact_project_roster_match
Leandro Trossard,Belgium,,no_exact_project_roster_match
Michy Batshuayi Tunga,Belgium,,no_exact_project_roster_match
Romelu Lukaku Menama,Belgium,,no_exact_project_roster_match
Thibaut Courtois,Belgium,,no_exact_project_roster_match
Thomas Meunier,Belgium,,no_exact_project_roster_match
Thorgan Hazard,Belgium,,no_exact_project_roster_match
Timothy Castagne,Belgium,,no_exact_project_roster_match
Toby Alderweireld,Belgium,,no_exact_project_roster_match
Yannick Ferreira Carrasco,Belgium,,no_exact_project_roster_match
Youri Tielemans,Belgium,,no_exact_project_roster_match
Alex Nicolao Telles,Brazil,,no_exact_project_roster_match
Alex Sandro Lobo Silva,Brazil,Brazil::ALEX SANDRO,no_exact_project_roster_match
Alisson Ramsés Becker,Brazil,Brazil::ALISSON,no_exact_project_roster_match
Antony Matheus dos Santos,Brazil,,no_exact_project_roster_match
Bruno Guimarães Rodriguez Moura,Brazil,Brazil::BRUNO GUIMARAES,no_exact_project_roster_match
Carlos Henrique Casimiro,Brazil,,no_exact_project_roster_match
Daniel Alves da Silva,Brazil,,no_exact_project_roster_match
