match_id,match_num,stage,group_name,home_team,away_team,kickoff_at,venue,status
wc26-001,M001,Group stage,A,Mexico,South Africa,2026-06-11T19:00:00Z,"Mexico City, Mexico",no_market
wc26-002,M002,Group stage,A,South Korea,Czech Republic,2026-06-12T02:00:00Z,"Zapopan, Mexico",no_market
wc26-003,M003,Group stage,B,Canada,Bosnia & Herzegovina,2026-06-12T19:00:00Z,"Toronto, Canada",no_market
wc26-004,M004,Group stage,D,USA,Paraguay,2026-06-13T01:00:00Z,"Los Angeles, USA",no_market
wc26-005,M005,Group stage,B,Qatar,Switzerland,2026-06-13T19:00:00Z,"Santa Clara, USA",no_market
wc26-006,M006,Group stage,C,Brazil,Morocco,2026-06-13T22:00:00Z,"New Jersey, USA",no_market
wc26-007,M007,Group stage,C,Haiti,Scotland,2026-06-14T01:00:00Z,"Foxborough, USA",no_market
wc26-008,M008,Group stage,D,Australia,Turkey,2026-06-14T04:00:00Z,"Vancouver, Canada",no_market
wc26-009,M009,Group stage,E,Germany,Curacao,2026-06-14T17:00:00Z,"Houston, USA",no_market
wc26-010,M010,Group stage,F,Netherlands,Japan,2026-06-14T20:00:00Z,"Arlington, USA",no_market
wc26-011,M011,Group stage,E,Ivory Coast,Ecuador,2026-06-14T23:00:00Z,"Philadelphia, USA",no_market
wc26-012,M012,Group stage,F,Sweden,Tunisia,2026-06-15T02:00:00Z,"Guadalupe, Mexico",no_market
wc26-013,M013,Group stage,H,Spain,Cape Verde,2026-06-15T16:00:00Z,"Atlanta, USA",no_market
wc26-014,M014,Group stage,G,Belgium,Egypt,2026-06-15T19:00:00Z,"Seattle, USA",no_market
wc26-015,M015,Group stage,H,Saudi Arabia,Uruguay,2026-06-15T22:00:00Z,"Miami, USA",no_market
wc26-016,M016,Group stage,G,Iran,New Zealand,2026-06-16T01:00:00Z,"Los Angeles, USA",no_market
wc26-017,M017,Group stage,I,France,Senegal,2026-06-16T19:00:00Z,"New Jersey, USA",no_market
wc26-018,M018,Group stage,I,Iraq,Norway,2026-06-16T22:00:00Z,"Foxborough, USA",no_market
wc26-019,M019,Group stage,J,Argentina,Algeria,2026-06-17T01:00:00Z,"Kansas City, USA",no_market
wc26-020,M020,Group stage,J,Austria,Jordan,2026-06-17T04:00:00Z,"Santa Clara, USA",no_market
wc26-021,M021,Group stage,K,Portugal,DR Congo,2026-06-17T17:00:00Z,"Houston, USA",no_market
wc26-022,M022,Group stage,L,England,Croatia,2026-06-17T20:00:00Z,"Arlington, USA",no_market
wc26-023,M023,Group stage,L,Ghana,Panama,2026-06-17T23:00:00Z,"Toronto, Canada",no_market
wc26-024,M024,Group stage,K,Uzbekistan,Colombia,2026-06-18T02:00:00Z,"Mexico City, Mexico",no_market
wc26-025,M025,Group stage,A,Czech Republic,South Africa,2026-06-18T16:00:00Z,"Atlanta, USA",no_market
wc26-026,M026,Group stage,B,Switzerland,Bosnia & Herzegovina,2026-06-18T19:00:00Z,"Los Angeles, USA",no_market
wc26-027,M027,Group stage,B,Canada,Qatar,2026-06-18T22:00:00Z,"Vancouver, Canada",no_market
wc26-028,M028,Group stage,A,Mexico,South Korea,2026-06-19T01:00:00Z,"Zapopan, Mexico",no_market
wc26-029,M029,Group stage,D,USA,Australia,2026-06-19T19:00:00Z,"Seattle, USA",no_market
wc26-030,M030,Group stage,C,Scotland,Morocco,2026-06-19T22:00:00Z,"Foxborough, USA",no_market
wc26-031,M031,Group stage,C,Brazil,Haiti,2026-06-20T00:00:00Z,"Philadelphia, USA",no_market
wc26-032,M032,Group stage,D,Turkey,Paraguay,2026-06-20T03:00:00Z,"Santa Clara, USA",no_market
wc26-033,M033,Group stage,A,Netherlands,Sweden,2026-06-20T17:00:00Z,"Houston, USA",no_market
wc26-034,M034,Group stage,E,Germany,Ivory Coast,2026-06-20T20:00:00Z,"Toronto, Canada",no_market
wc26-035,M035,Group stage,E,Ecuador,Curacao,2026-06-21T00:00:00Z,"Kansas City, USA",no_market
wc26-036,M036,Group stage,F,Tunisia,Japan,2026-06-21T04:00:00Z,"Guadalupe, Mexico",no_market
wc26-037,M037,Group stage,H,Spain,Saudi Arabia,2026-06-21T16:00:00Z,"Atlanta, USA",no_market
wc26-038,M038,Group stage,G,Belgium,Iran,2026-06-21T19:00:00Z,"Los Angeles, USA",no_market
wc26-039,M039,Group stage,H,Uruguay,Cape Verde,2026-06-21T22:00:00Z,"Miami, USA",no_market
wc26-040,M040,Group stage,G,New Zealand,Egypt,2026-06-22T01:00:00Z,"Vancouver, Canada",no_market
wc26-041,M041,Group stage,J,Argentina,Austria,2026-06-22T17:00:00Z,"Arlington, USA",no_market
wc26-042,M042,Group stage,I,France,Iraq,2026-06-22T21:00:00Z,"Philadelphia, USA",no_market
wc26-043,M043,Group stage,I,Norway,Senegal,2026-06-23T00:00:00Z,"Toronto, Canada",no_market
wc26-044,M044,Group stage,J,Jordan,Algeria,2026-06-23T03:00:00Z,"Santa Clara, USA",no_market
wc26-045,M045,Group stage,K,Portugal,Uzbekistan,2026-06-23T17:00:00Z,"Houston, USA",no_market
wc26-046,M046,Group stage,L,England,Ghana,2026-06-23T20:00:00Z,"Foxborough, USA",no_market
wc26-047,M047,Group stage,L,Panama,Croatia,2026-06-23T23:00:00Z,"Foxborough, USA",no_market
